Commit URL,File Name,Category,Project Name,Project Types
https://github.com/FourthState/plasma-mvp-rootchain/commit/088adc738b15126324739816495f1651598c5873,contracts/rootchain/RootChain.sol,Underflow/Overflow,Plasma,layer 2
https://github.com/FourthState/plasma-mvp-rootchain/commit/c659009290ddfda921646206d1ac02e7bf4950b7,contracts/rootchain/RootChain.sol,Unchecked Call Return Value,Plasma,layer 2
https://github.com/adorsys/p2p-lending/commit/1495c9375cfb5c113660d17a5e8dff8a4f574440,contracts/LendingRequests/LendingRequest.sol,Unprotected Ether Withdrawal,p2p-lending,Lending
https://github.com/PolymathNetwork/polymath-core-deprecated/commit/20bed2fbb5fac5449a8c7ce1ff069efbb8b98456,contracts/NameSpaceRegistrar.sol,Unprotected Ether Withdrawal,Polymath,Launchpad
https://github.com/PolymathNetwork/polymath-core-deprecated/commit/3a03f252bc1ea32799be3405680afeccea1a35f0,contracts/NameSpaceRegistrar.sol,Unprotected Ether Withdrawal,Polymath,Launchpad
https://github.com/PolymathNetwork/polymath-core-deprecated/commit/c01e8b77fc9b64aa044f93cd778dd0b62d970dad,contracts/NameSpaceRegistrar.sol,Unprotected Ether Withdrawal,Polymath,Launchpad
https://github.com/PolymathNetwork/polymath-core-deprecated/commit/27a2210e7ab0e0af82241c1e0e4d1bf7af179ff9,contracts/NameSpaceRegistrar.sol,Unprotected Ether Withdrawal,Polymath,Launchpad
https://github.com/OpenBazaar/smart-contracts/commit/954176eee930dc5f5fe31df0f4db1ad4feab786d,contracts/escrow/Escrow.sol,Reentrancy,OpenBazaar,Dexes
https://github.com/e11-io/crypto-wars-solidity/commit/a7319e6f5e65505ccb10c9636833099a64fdb080,contracts/UserBuildings.sol,Unprotected Ether Withdrawal,CryptoWars,Gaming
https://github.com/e11-io/crypto-wars-solidity/commit/8fdc6db9811f5ee31cf6e11ade98144ef9a02f78,contracts/UserBuildings.sol,Unprotected Ether Withdrawal,CryptoWars,Gaming
https://github.com/tatumio/smart-contracts/commit/8cff275c500acdcdca7ff0c947fb698b980747b7,contracts/tatum/custodial/CustodialWalletFactoryV2.sol,Underflow/Overflow,Tatum fork,services
https://github.com/tatumio/smart-contracts/commit/8cff275c500acdcdca7ff0c947fb698b980747b7,contracts/tatum/custodial/TronCustodialWalletFactoryV2.sol,Underflow/Overflow,Tatum fork,services
https://github.com/tatumio/smart-contracts/commit/2795a8a7a2d6fbf9d5915908f208788f4bb32cbe,contracts/tatum/custodial/TronCustodialWallet.sol,Unprotected Ether Withdrawal,Tatum fork,services
https://github.com/tatumio/smart-contracts/commit/3cbf025e6c468822821dcf443300981850c1abd4,contracts/tatum/custodial/CustodialWallet.sol,Unprotected Ether Withdrawal,Tatum fork,services
https://github.com/authereum/contracts/commit/4a778540362efe6cec4d501ff5ed36c5327131fb,contracts/modules/AuthereumDelegateKeyModule.sol,Underflow/Overflow,Authereum,blockchain
